geoid,uninsured_pct,high_bp_pct,asthma_pct,no_check_up_pct,no_dental_visit_pct,diabetes_pct,high_cholesterol_pct,NAME_x,median_household_income_x,health_insurance_total_x,total_population_x,state_x,county_x,hpsa_score_max,hpsa_designation_count,pct_below_poverty,hpsa_designated
01001,8.95,40.1,10.0,80.2,61.9,12.35,38.8,"Autauga County, Alabama",72481.0,58355.0,59947.0,1.0,1.0,15.0,1.0,10.6,1.0
01003,8.55,40.4,9.35,79.1,63.05,11.9,39.1,"Baldwin County, Alabama",78775.0,243859.0,246989.0,1.0,3.0,0.0,0.0,13.765032537810871,0.0
01005,14.55,47.8,10.85,80.35,45.8,18.05,39.75,"Barbour County, Alabama",46042.0,21581.0,24643.0,1.0,5.0,19.0,3.0,21.9,1.0
01007,12.8,44.35,10.4,78.25,50.7,15.05,39.55,"Bibb County, Alabama",52541.0,20552.0,22130.0,1.0,7.0,20.0,2.0,18.824303255205947,1.0
01009,11.75,38.6,9.9,78.25,54.45,12.55,38.95,"Blount County, Alabama",64190.0,59093.0,59518.0,1.0,9.0,11.0,1.0,14.1,1.0
01011,17.95,54.5,11.5,81.19999999999999,39.25,22.950000000000003,40.150000000000006,"Bullock County, Alabama",31310.0,8769.0,10058.0,1.0,11.0,22.0,4.0,25.6,1.0
01013,11.55,47.9,11.0,81.44999999999999,49.55,17.049999999999997,39.7,"Butler County, Alabama",44755.0,18380.0,18630.0,1.0,13.0,19.0,3.0,21.0,1.0
01015,10.8,43.15,10.6,78.44999999999999,56.25,13.85,37.9,"Calhoun County, Alabama",55029.0,114485.0,116090.0,1.0,15.0,15.0,2.0,17.4,1.0
01017,11.8,45.75,10.8,80.2,48.65,16.2,38.3,"Chambers County, Alabama",49656.0,33666.0,34192.0,1.0,17.0,15.0,1.0,17.872246611906593,1.0
01019,10.4,41.7,10.25,78.35,57.6,13.9,41.35,"Cherokee County, Alabama",53863.0,25193.0,25443.0,1.0,19.0,15.0,2.0,18.697776004752477,1.0
01021,11.85,41.05,10.0,78.05,59.1,13.05,40.5,"Chilton County, Alabama",65603.0,45696.0,45992.0,1.0,21.0,0.0,0.0,14.165347925838923,0.0
01023,11.4,48.45,11.0,81.44999999999999,49.400000000000006,17.55,40.85,"Choctaw County, Alabama",47813.0,12267.0,12380.0,1.0,23.0,14.0,1.0,19.5,1.0
01025,11.3,46.5,10.9,81.15,50.400000000000006,16.65,38.5,"Clarke County, Alabama",49249.0,22234.0,22543.0,1.0,25.0,20.0,2.0,20.5,1.0
01027,11.35,44.1,10.5,79.05000000000001,50.6,14.7,40.55,"Clay County, Alabama",55250.0,13951.0,14192.0,1.0,27.0,11.0,1.0,16.5,1.0
01029,10.35,39.95,10.05,77.75,52.6,13.15,39.7,"Cleburne County, Alabama",55345.0,15204.0,15426.0,1.0,29.0,14.0,1.0,13.1,1.0
01031,11.5,41.5,10.2,78.5,59.7,13.75,37.75,"Coffee County, Alabama",68353.0,52676.0,54920.0,1.0,31.0,13.0,1.0,17.6,1.0
01033,10.0,41.45,10.35,79.2,56.1,13.55,39.3,"Colbert County, Alabama",60628.0,57670.0,58022.0,1.0,33.0,17.0,1.0,16.8,1.0
01035,13.15,50.6,11.15,81.3,49.25,19.450000000000003,40.5,"Conecuh County, Alabama",41327.0,11184.0,11275.0,1.0,35.0,14.0,1.0,27.6,1.0
01037,11.4,45.45,10.4,80.15,52.55,16.05,39.95,"Coosa County, Alabama",57355.0,9971.0,10300.0,1.0,37.0,14.0,1.0,11.6,1.0
01039,10.65,43.0,10.3,79.30000000000001,54.45,14.55,40.6,"Covington County, Alabama",52456.0,37128.0,37628.0,1.0,39.0,15.0,1.0,18.0,1.0
01041,11.45,43.7,10.55,79.75,52.95,15.0,39.05,"Crenshaw County, Alabama",48560.0,12934.0,13122.0,1.0,41.0,11.0,1.0,16.1,1.0
01043,10.3,39.8,9.85,78.1,54.9,12.2,38.35,"Cullman County, Alabama",62656.0,89754.0,90566.0,1.0,43.0,12.0,1.0,13.9,1.0
01045,11.65,42.4,10.35,79.0,54.6,14.75,39.400000000000006,"Dale County, Alabama",54963.0,47185.0,49599.0,1.0,45.0,18.0,1.0,18.7,1.0
01047,12.65,52.2,11.7,83.0,47.85,20.25,40.400000000000006,"Dallas County, Alabama",35627.0,36567.0,36858.0,1.0,47.0,21.0,2.0,29.0,1.0
01049,15.05,42.25,10.1,77.1,47.55,14.5,39.55,"DeKalb County, Alabama",51204.0,71520.0,72269.0,1.0,49.0,15.0,2.0,20.3,1.0
01051,9.35,39.900000000000006,10.0,79.6,59.8,12.2,38.150000000000006,"Elmore County, Alabama",78243.0,84814.0,89526.0,1.0,51.0,19.0,5.0,10.2,1.0
01053,13.3,46.3,10.95,79.5,48.3,17.05,39.7,"Escambia County, Alabama",48225.0,34155.0,36629.0,1.0,53.0,19.0,3.0,21.2,1.0
01055,11.05,43.6,10.3,78.95,54.400000000000006,14.85,39.25,"Etowah County, Alabama",54563.0,101952.0,103105.0,1.0,55.0,20.0,2.0,17.1,1.0
01057,11.25,44.25,10.4,79.05,50.2,14.85,39.6,"Fayette County, Alabama",49488.0,15867.0,16053.0,1.0,57.0,11.0,1.0,18.6,1.0
